story_ref,project_key,issue_type,summary,parent_epic_key__parent,parent_feature_key__customfield_12445,parent_feature_link_key__issue_link_is_child_of,us_description__customfield_10513,acceptance_criteria__customfield_10536,priority,reporter,reporter__account_id,assignee,assignee__account_id,business_owner__customfield_10512,business_owner__customfield_10512__account_id,lead_solution_designer__customfield_10515,lead_solution_designer__customfield_10515__account_id,dedicated_team__customfield_10803,dedicated_team__customfield_10803__option_id,story_points__customfield_10105,labels,description,start_date__customfield_10584,due_date,sprint__customfield_10103,sprint_tester__customfield_10574,known_problem__customfield_10686,deployment_info__customfield_10615,depends_on_refs
DNAQ-QLIK-01,DNAQ,Story,Evaluate Qlik Data Gateway for direct CADP and business file ingestion,LUMI-10671,LUMI-10669,LUMI-10669,"Original context: Qlik Data Gateway should decommission S3; CADP not on S3 but directly in Qlik; Business files also on Qlik. As a Qlik platform owner, I want to evaluate Qlik Data Gateway as the ingestion route for CADP and business files, so that we can decide whether S3 can be reduced or removed from the Qlik consumption flow.","A documented recommendation confirms whether direct Qlik Data Gateway ingestion is feasible for one representative CADP/business-file scenario, with key risks and next steps captured.",Medium,Devashish Jain,712020:f645d120-98c0-4029-84c3-01f4405dfce9,,,Devashish Jain,712020:f645d120-98c0-4029-84c3-01f4405dfce9,Jan Floren,5e8ed38071d2150b82f49de2,DNA DataViz Platform,11911,2,,,,,,,,,
DNAQ-QLIK-02,DNAQ,Story,Replace Qlik loader apps with reusable load scripts,LUMI-10671,LUMI-10669,LUMI-10669,"Original context: Get rid of loader apps should replace them with script. As a Qlik platform owner, I want reusable load scripts to replace unnecessary loader apps, so that the reload architecture becomes simpler, easier to govern, and less dependent on app-level workarounds.","One loader-app pattern is assessed and a reusable script-based replacement approach is documented or prototyped with clear migration boundaries.",Medium,Devashish Jain,712020:f645d120-98c0-4029-84c3-01f4405dfce9,,,Devashish Jain,712020:f645d120-98c0-4029-84c3-01f4405dfce9,Jan Floren,5e8ed38071d2150b82f49de2,DNA DataViz Platform,11911,2,,,,,,,,,
DNAQ-QLIK-03,DNAQ,Story,Run POC for governed Data Products in Qlik,LUMI-10671,LUMI-10669,LUMI-10669,"Original context: Data Product in Qlik should POC. As a Qlik platform owner, I want to test whether Qlik can support governed data products, so that reusable consumption-ready datasets can be managed with clearer ownership and quality expectations.","A small Qlik data-product POC demonstrates source, ownership, metadata, access, refresh, and consumption path for one agreed use case.",Medium,Devashish Jain,712020:f645d120-98c0-4029-84c3-01f4405dfce9,,,Devashish Jain,712020:f645d120-98c0-4029-84c3-01f4405dfce9,Jan Floren,5e8ed38071d2150b82f49de2,DNA DataViz Platform,11911,2,,,,,,,,,
DNAQ-QLIK-04,DNAQ,Story,Scope AI POC for DataViz platform support,LUMI-10671,LUMI-10669,LUMI-10669,"Original context: AI POC should Scoping. As a Qlik platform owner, I want to scope an AI POC for DataViz support, so that we test AI only where it can reduce real friction in support, enablement, or self-service.","One AI POC use case is selected with users, scope, inputs, outputs, constraints, and measurable success criteria documented.",Medium,Devashish Jain,712020:f645d120-98c0-4029-84c3-01f4405dfce9,,,Devashish Jain,712020:f645d120-98c0-4029-84c3-01f4405dfce9,Jan Floren,5e8ed38071d2150b82f49de2,DNA DataViz Platform,11911,2,,,,,,,,,
DNAQ-QLIK-05,DNAQ,Story,Continue operational ownership of the Qlik reload engine,LUMI-10671,LUMI-10669,LUMI-10669,"Original context: Reload Engine should Keep doing. As a Qlik platform owner, I want reload engine operations to continue with clear ownership, so that business-critical refreshes remain stable while platform improvements are planned.","Current reload-engine run responsibilities, checks, risks, and improvement items are visible and agreed with the team.",Medium,Devashish Jain,712020:f645d120-98c0-4029-84c3-01f4405dfce9,,,Devashish Jain,712020:f645d120-98c0-4029-84c3-01f4405dfce9,Jan Floren,5e8ed38071d2150b82f49de2,DNA DataViz Platform,11911,2,,,,,,,,,
DNAQ-QLIK-06,DNAQ,Story,Extract actionable metrics from the Qlik training monitoring app,LUMI-10671,LUMI-10669,LUMI-10669,"Original context: Qlik training monitoring app should take these metrics. As a Qlik platform owner, I want to extract useful metrics from the training monitoring app, so that training adoption and enablement gaps can be managed with evidence instead of assumptions.","A short list of actionable training metrics is defined with source, owner, refresh logic, and intended decision use.",Medium,Devashish Jain,712020:f645d120-98c0-4029-84c3-01f4405dfce9,,,Devashish Jain,712020:f645d120-98c0-4029-84c3-01f4405dfce9,Jan Floren,5e8ed38071d2150b82f49de2,DNA DataViz Platform,11911,2,,,,,,,,,
DNAQ-QLIK-07,DNAQ,Story,Redesign Qlik admin monitoring around purpose-based views,LUMI-10671,LUMI-10669,LUMI-10669,"Original context: Admin monitoring app should make them purpose based. As a Qlik platform owner, I want admin monitoring views organized by purpose, so that platform health, usage, governance, and support questions can be answered faster.","A revised admin-monitoring structure groups the core metrics by operational purpose and is reviewed with the platform team.",Medium,Devashish Jain,712020:f645d120-98c0-4029-84c3-01f4405dfce9,,,Devashish Jain,712020:f645d120-98c0-4029-84c3-01f4405dfce9,Jan Floren,5e8ed38071d2150b82f49de2,DNA DataViz Platform,11911,2,,,,,,,,,
DNAQ-QLIK-08,DNAQ,Story,Update Qlik app thumbnails by space or app type,LUMI-10671,LUMI-10669,LUMI-10669,"Original context: Thumbnails are outdated should per space or app type. As a Qlik platform owner, I want app thumbnails refreshed by space or app type, so that users can recognize content faster and the platform looks more governed and current.","A thumbnail standard is defined and applied to at least one agreed space or representative app group.",Medium,Devashish Jain,712020:f645d120-98c0-4029-84c3-01f4405dfce9,,,Devashish Jain,712020:f645d120-98c0-4029-84c3-01f4405dfce9,Jan Floren,5e8ed38071d2150b82f49de2,DNA DataViz Platform,11911,2,,,,,,,,,
DNAQ-QLIK-09,DNAQ,Story,Build MVP for AI-enabled Qlik training self-help,LUMI-10671,LUMI-10669,LUMI-10669,"Original context: MVP for training - AI for self-help. As a Qlik platform owner, I want an MVP AI self-help flow for Qlik training, so that users can resolve common questions without waiting for manual support.","An MVP self-help flow answers a small approved set of Qlik training questions using validated source material.",Medium,Devashish Jain,712020:f645d120-98c0-4029-84c3-01f4405dfce9,,,Devashish Jain,712020:f645d120-98c0-4029-84c3-01f4405dfce9,Jan Floren,5e8ed38071d2150b82f49de2,DNA DataViz Platform,11911,2,,,,,,,,DNAQ-QLIK-04
DNAQ-QLIK-10,DNAQ,Story,Create one-hour CADP load dashboard template app,LUMI-10671,LUMI-10669,LUMI-10669,"Original context: Template app for CADP load should One hour dashboard. As a Qlik platform owner, I want a reusable CADP load dashboard template, so that simple CADP-based dashboards can be produced quickly with consistent structure and governance.","A reusable CADP dashboard template is validated by creating one working sample dashboard within the agreed one-hour build pattern.",Medium,Devashish Jain,712020:f645d120-98c0-4029-84c3-01f4405dfce9,,,Devashish Jain,712020:f645d120-98c0-4029-84c3-01f4405dfce9,Jan Floren,5e8ed38071d2150b82f49de2,DNA DataViz Platform,11911,2,,,,,,,,,
DNAQ-QLIK-11,DNAQ,Story,Define theming and template standards across reporting tools,LUMI-10671,LUMI-10669,LUMI-10669,"Original context: Theming/Template across different tools. As a DataViz platform owner, I want common theming and template standards across reporting tools, so that reports feel consistent even when delivered through different platforms.","A minimum cross-tool theme/template standard is documented with practical rules that can be adopted without blocking delivery.",Medium,Devashish Jain,712020:f645d120-98c0-4029-84c3-01f4405dfce9,,,Devashish Jain,712020:f645d120-98c0-4029-84c3-01f4405dfce9,Jan Floren,5e8ed38071d2150b82f49de2,DNA DataViz Platform,11911,2,,,,,,,,,
